Date,Level,Context,Message
2025-03-31T17:30:13.826Z,LOG,ParkingLotService,"Initialized parking lot with 3 slots"
2025-03-31T17:30:13.829Z,LOG,ParkingLotService,"Initialized parking lot with 3 slots"
2025-03-31T17:30:13.830Z,LOG,ParkingLotService,"Allocated slot 1 to car KA-01-AB-2211"
2025-03-31T17:30:13.832Z,LOG,ParkingLotService,"Initialized parking lot with 1 slots"
2025-03-31T17:30:13.832Z,LOG,ParkingLotService,"Allocated slot 1 to car KA-02-XY-9999"
2025-03-31T17:30:13.840Z,LOG,ParkingLotService,"Initialized parking lot with 3 slots"
2025-03-31T17:30:13.841Z,LOG,ParkingLotService,"Allocated slot 1 to car KA-02-XY-9999"
2025-03-31T17:30:13.841Z,LOG,ParkingLotService,"Freed slot 1"
2025-03-31T17:30:13.843Z,LOG,ParkingLotService,"Initialized parking lot with 3 slots"
2025-03-31T17:30:13.844Z,WARN,ParkingLotService,"Slot 1 is already free"
2025-03-31T17:30:39.588Z,LOG,ParkingLotService,"Initialized parking lot with 3 slots"
2025-03-31T17:30:39.590Z,LOG,ParkingLotService,"Initialized parking lot with 3 slots"
2025-03-31T17:30:39.591Z,LOG,ParkingLotService,"Allocated slot 1 to car KA-01-AB-2211"
2025-03-31T17:30:39.593Z,LOG,ParkingLotService,"Initialized parking lot with 1 slots"
2025-03-31T17:30:39.594Z,LOG,ParkingLotService,"Allocated slot 1 to car KA-02-XY-9999"
2025-03-31T17:30:39.606Z,LOG,ParkingLotService,"Initialized parking lot with 3 slots"
2025-03-31T17:30:39.607Z,LOG,ParkingLotService,"Allocated slot 1 to car KA-02-XY-9999"
2025-03-31T17:30:39.610Z,LOG,ParkingLotService,"Freed slot 1"
2025-03-31T17:30:39.612Z,LOG,ParkingLotService,"Initialized parking lot with 3 slots"
2025-03-31T17:30:39.613Z,WARN,ParkingLotService,"Slot 1 is already free"
2025-03-31T17:30:40.174Z,LOG,ParkingLotService,"Initialized parking lot with 10 slots"
2025-03-31T17:30:40.180Z,LOG,ParkingLotService,"Allocated slot 1 to car WB012009"
2025-03-31T17:30:40.195Z,LOG,ParkingLotService,"Initialized parking lot with 10 slots"
2025-03-31T17:30:40.199Z,LOG,ParkingLotService,"Allocated slot 1 to car WB012009"
2025-03-31T17:30:40.206Z,LOG,ParkingLotService,"Initialized parking lot with 10 slots"
2025-03-31T17:30:40.209Z,LOG,ParkingLotService,"Allocated slot 1 to car WB012009"
2025-03-31T17:30:40.213Z,LOG,ParkingLotService,"Allocated slot 2 to car WB0120010"
2025-03-31T17:30:40.219Z,LOG,ParkingLotService,"Initialized parking lot with 10 slots"
2025-03-31T17:30:40.222Z,LOG,ParkingLotService,"Allocated slot 1 to car WB012009"
2025-03-31T17:30:40.225Z,LOG,ParkingLotService,"Freed slot 1"
2025-03-31T17:32:54.540Z,LOG,ParkingLotService,"Initialized parking lot with 3 slots"
2025-03-31T17:32:54.544Z,LOG,ParkingLotService,"Initialized parking lot with 3 slots"
2025-03-31T17:32:54.545Z,LOG,ParkingLotService,"Allocated slot 1 to car KA-01-AB-2211"
2025-03-31T17:32:54.547Z,LOG,ParkingLotService,"Initialized parking lot with 1 slots"
2025-03-31T17:32:54.548Z,LOG,ParkingLotService,"Allocated slot 1 to car KA-02-XY-9999"
2025-03-31T17:32:54.558Z,LOG,ParkingLotService,"Initialized parking lot with 3 slots"
2025-03-31T17:32:54.559Z,LOG,ParkingLotService,"Allocated slot 1 to car KA-02-XY-9999"
2025-03-31T17:32:54.561Z,LOG,ParkingLotService,"Freed slot 1"
2025-03-31T17:32:54.563Z,LOG,ParkingLotService,"Initialized parking lot with 3 slots"
2025-03-31T17:32:54.563Z,WARN,ParkingLotService,"Slot 1 is already free"
2025-03-31T17:32:55.132Z,LOG,ParkingLotService,"Initialized parking lot with 10 slots"
2025-03-31T17:32:55.138Z,LOG,ParkingLotService,"Allocated slot 1 to car WB012009"
2025-03-31T17:32:55.150Z,LOG,ParkingLotService,"Initialized parking lot with 10 slots"
2025-03-31T17:32:55.152Z,LOG,ParkingLotService,"Allocated slot 1 to car WB012009"
2025-03-31T17:32:55.159Z,LOG,ParkingLotService,"Initialized parking lot with 10 slots"
2025-03-31T17:32:55.161Z,LOG,ParkingLotService,"Allocated slot 1 to car WB012009"
2025-03-31T17:32:55.164Z,LOG,ParkingLotService,"Allocated slot 2 to car WB0120010"
2025-03-31T17:32:55.171Z,LOG,ParkingLotService,"Initialized parking lot with 10 slots"
2025-03-31T17:32:55.173Z,LOG,ParkingLotService,"Allocated slot 1 to car WB012009"
2025-03-31T17:32:55.176Z,LOG,ParkingLotService,"Freed slot 1"
2025-03-31T17:33:21.977Z,LOG,ParkingLotService,"Initialized parking lot with 3 slots"
2025-03-31T17:33:21.977Z,LOG,ParkingLotService,"Initialized parking lot with 3 slots"
2025-03-31T17:33:21.980Z,LOG,ParkingLotService,"Initialized parking lot with 3 slots"
2025-03-31T17:33:21.980Z,LOG,ParkingLotService,"Initialized parking lot with 3 slots"
2025-03-31T17:33:21.981Z,LOG,ParkingLotService,"Allocated slot 1 to car KA-01-AB-2211"
2025-03-31T17:33:21.981Z,LOG,ParkingLotService,"Allocated slot 1 to car KA-01-AB-2211"
2025-03-31T17:33:21.983Z,LOG,ParkingLotService,"Initialized parking lot with 1 slots"
2025-03-31T17:33:21.983Z,LOG,ParkingLotService,"Initialized parking lot with 1 slots"
2025-03-31T17:33:21.984Z,LOG,ParkingLotService,"Allocated slot 1 to car KA-02-XY-9999"
2025-03-31T17:33:21.985Z,LOG,ParkingLotService,"Allocated slot 1 to car KA-02-XY-9999"
2025-03-31T17:33:21.997Z,LOG,ParkingLotService,"Initialized parking lot with 3 slots"
2025-03-31T17:33:21.997Z,LOG,ParkingLotService,"Initialized parking lot with 3 slots"
2025-03-31T17:33:21.997Z,LOG,ParkingLotService,"Allocated slot 1 to car KA-02-XY-9999"
2025-03-31T17:33:21.997Z,LOG,ParkingLotService,"Allocated slot 1 to car KA-02-XY-9999"
2025-03-31T17:33:21.998Z,LOG,ParkingLotService,"Freed slot 1"
2025-03-31T17:33:21.998Z,LOG,ParkingLotService,"Freed slot 1"
2025-03-31T17:33:21.999Z,LOG,ParkingLotService,"Initialized parking lot with 3 slots"
2025-03-31T17:33:22.000Z,WARN,ParkingLotService,"Slot 1 is already free"
2025-03-31T17:33:22.001Z,LOG,ParkingLotService,"Initialized parking lot with 3 slots"
2025-03-31T17:33:22.007Z,WARN,ParkingLotService,"Slot 1 is already free"
2025-03-31T17:33:22.537Z,LOG,ParkingLotService,"Initialized parking lot with 10 slots"
2025-03-31T17:33:22.542Z,LOG,ParkingLotService,"Allocated slot 1 to car WB012009"
2025-03-31T17:33:22.560Z,LOG,ParkingLotService,"Initialized parking lot with 10 slots"
2025-03-31T17:33:22.563Z,LOG,ParkingLotService,"Allocated slot 1 to car WB012009"
2025-03-31T17:33:22.572Z,LOG,ParkingLotService,"Initialized parking lot with 10 slots"
2025-03-31T17:33:22.574Z,LOG,ParkingLotService,"Allocated slot 1 to car WB012009"
2025-03-31T17:33:22.577Z,LOG,ParkingLotService,"Allocated slot 2 to car WB0120010"
2025-03-31T17:33:22.583Z,LOG,ParkingLotService,"Initialized parking lot with 10 slots"
2025-03-31T17:33:22.585Z,LOG,ParkingLotService,"Allocated slot 1 to car WB012009"
2025-03-31T17:33:22.587Z,LOG,ParkingLotService,"Freed slot 1"
